"index_ts","date","metric","value"
"nasdaq_100_ndx","2025-01-07","low",21101.08984375
"nasdaq_100_ndx","2025-01-07","high",21621.25
"nasdaq_100_ndx","2025-01-07","close_adjusted",21173.0390625
"nasdaq_100_ndx","2025-01-07","volume",13371130000
"nasdaq_100_ndx","2025-01-06","close",21559.5
"nasdaq_100_ndx","2025-01-06","close_adjusted",21559.5
"nasdaq_100_ndx","2025-01-06","high",21703.490234375
"nasdaq_100_ndx","2025-01-06","low",21462.51953125
"nasdaq_100_ndx","2025-01-06","open",21551.1796875
"nasdaq_100_ndx","2025-01-06","volume",9586840000
"nasdaq_100_ndx","2025-01-03","close",21326.16015625
"nasdaq_100_ndx","2025-01-03","volume",8214050000
"nasdaq_100_ndx","2025-01-03","open",21096.7890625
"nasdaq_100_ndx","2025-01-03","low",21075.890625
"nasdaq_100_ndx","2025-01-03","high",21359.630859375
"nasdaq_100_ndx","2025-01-03","close_adjusted",21326.16015625
"nasdaq_100_ndx","2025-01-02","close",20975.619140625
"nasdaq_100_ndx","2025-01-02","close_adjusted",20975.619140625
"nasdaq_100_ndx","2025-01-02","high",21236.58984375
"nasdaq_100_ndx","2025-01-02","low",20800.5
"nasdaq_100_ndx","2025-01-02","open",21120.05078125
"nasdaq_100_ndx","2025-01-02","volume",8737550000
"nasdaq_100_ndx","2024-12-31","open",21256.01953125
"nasdaq_100_ndx","2024-12-31","volume",8873030000
"nasdaq_100_ndx","2024-12-31","low",20979.51953125
"nasdaq_100_ndx","2024-12-31","high",21276.140625
"nasdaq_100_ndx","2024-12-31","close_adjusted",21012.169921875
"nasdaq_100_ndx","2024-12-31","close",21012.169921875
"nasdaq_100_ndx","2024-12-30","volume",8384090000
"nasdaq_100_ndx","2024-12-30","open",21189.099609375
"nasdaq_100_ndx","2024-12-30","high",21346.060546875
"nasdaq_100_ndx","2024-12-30","close_adjusted",21197.08984375
"nasdaq_100_ndx","2024-12-30","close",21197.08984375
"nasdaq_100_ndx","2024-12-30","low",21046.630859375
"nasdaq_100_ndx","2024-12-27","close_adjusted",21473.01953125
"nasdaq_100_ndx","2024-12-27","volume",7765120000
"nasdaq_100_ndx","2024-12-27","open",21633.099609375
"nasdaq_100_ndx","2024-12-27","low",21292.189453125
"nasdaq_100_ndx","2024-12-27","high",21642.259765625
"nasdaq_100_ndx","2024-12-27","close",21473.01953125
"nasdaq_100_ndx","2024-12-26","open",21733.98046875
"nasdaq_100_ndx","2024-12-26","low",21645.619140625
"nasdaq_100_ndx","2024-12-26","high",21837.69921875
"nasdaq_100_ndx","2024-12-26","volume",6467910000
"nasdaq_100_ndx","2024-12-26","close_adjusted",21768.310546875
"nasdaq_100_ndx","2024-12-26","close",21768.310546875
"nasdaq_100_ndx","2024-12-24","volume",4739190000
"nasdaq_100_ndx","2024-12-24","open",21564.369140625
"nasdaq_100_ndx","2024-12-24","low",21558.970703125
"nasdaq_100_ndx","2024-12-24","high",21797.650390625
"nasdaq_100_ndx","2024-12-24","close_adjusted",21797.650390625
"nasdaq_100_ndx","2024-12-24","close",21797.650390625
"nasdaq_100_ndx","2024-12-23","low",21224.26953125
"nasdaq_100_ndx","2024-12-23","volume",6820720000
"nasdaq_100_ndx","2024-12-23","open",21364.259765625
"nasdaq_100_ndx","2024-12-23","high",21510.08984375
"nasdaq_100_ndx","2024-12-23","close_adjusted",21503.169921875
"nasdaq_100_ndx","2024-12-23","close",21503.169921875
"nasdaq_100_ndx","2024-12-20","high",21540.3203125
"nasdaq_100_ndx","2024-12-20","open",20939.640625
"nasdaq_100_ndx","2024-12-20","volume",10962450000
"nasdaq_100_ndx","2024-12-20","close",21289.150390625
"nasdaq_100_ndx","2024-12-20","close_adjusted",21289.150390625
"nasdaq_100_ndx","2024-12-20","low",20913.720703125
"nasdaq_100_ndx","2024-12-19","close",21110.509765625
"nasdaq_100_ndx","2024-12-19","volume",8029590000
"nasdaq_100_ndx","2024-12-19","open",21358.7890625
"nasdaq_100_ndx","2024-12-19","low",21093.4609375
"nasdaq_100_ndx","2024-12-19","high",21413.740234375
"nasdaq_100_ndx","2024-12-19","close_adjusted",21110.509765625
"nasdaq_100_ndx","2024-12-18","close",21209.3203125
"nasdaq_100_ndx","2024-12-18","close_adjusted",21209.3203125
"nasdaq_100_ndx","2024-12-18","high",22038.080078125
"nasdaq_100_ndx","2024-12-18","low",21146.830078125
"nasdaq_100_ndx","2024-12-18","open",21979.529296875
"nasdaq_100_ndx","2024-12-18","volume",9996120000
"nasdaq_100_ndx","2024-12-17","close_adjusted",22001.080078125
"nasdaq_100_ndx","2024-12-17","close",22001.080078125
"nasdaq_100_ndx","2024-12-17","volume",9534350000
"nasdaq_100_ndx","2024-12-17","high",22062
"nasdaq_100_ndx","2024-12-17","low",21921.2109375
"nasdaq_100_ndx","2024-12-17","open",22003.640625
"nasdaq_100_ndx","2024-12-16","open",21891.359375
"nasdaq_100_ndx","2024-12-16","volume",8855040000
"nasdaq_100_ndx","2024-12-16","low",21879.740234375
"nasdaq_100_ndx","2024-12-16","high",22133.220703125
"nasdaq_100_ndx","2024-12-16","close_adjusted",22096.66015625
"nasdaq_100_ndx","2024-12-16","close",22096.66015625
"nasdaq_100_ndx","2024-12-13","open",21789.650390625
"nasdaq_100_ndx","2024-12-13","close",21780.25
"nasdaq_100_ndx","2024-12-13","close_adjusted",21780.25
"nasdaq_100_ndx","2024-12-13","high",21886.740234375
"nasdaq_100_ndx","2024-12-13","low",21646.08984375
"nasdaq_100_ndx","2024-12-13","volume",6028250000
"nasdaq_100_ndx","2024-12-12","volume",7047550000
"nasdaq_100_ndx","2024-12-12","open",21652.849609375
"nasdaq_100_ndx","2024-12-12","close",21615.26953125
"nasdaq_100_ndx","2024-12-12","low",21596.669921875
"nasdaq_100_ndx","2024-12-12","high",21715.830078125
"nasdaq_100_ndx","2024-12-12","close_adjusted",21615.26953125
"nasdaq_100_ndx","2024-12-11","volume",6639720000
"nasdaq_100_ndx","2024-12-11","close",21763.98046875
"nasdaq_100_ndx","2024-12-11","close_adjusted",21763.98046875
"nasdaq_100_ndx","2024-12-11","high",21784.7109375
